Gene_ID,Disease_ID,label
1,C0019209,1
2,C0002395,1
2,C0007102,1
2,C0009375,1
2,C0011570,1
2,C0011581,1
2,C0019202,1
2,C0023890,1
2,C0023893,1
2,C0206669,1
2,C0242379,1
2,C0276496,1
2,C0494463,1
2,C0546126,1
2,C0750900,1
2,C0750901,1
2,C1527352,1
2,C1565662,1
2,C2239176,1
2,C2609414,1
2,C3279661,1
9,C0001973,1
9,C0004403,1
9,C0005684,1
9,C0006826,1
9,C0008625,1
9,C0013221,1
9,C0027651,1
9,C0028796,1
9,C0041755,1
9,C0086457,1
9,C0086692,1
9,C0376358,1
10,C0005684,1
10,C0005695,1
10,C0011999,1
10,C0013182,1
10,C0019193,1
10,C0023452,1
10,C0023453,1
10,C0023903,1
10,C0027794,1
10,C0027806,1
10,C0028796,1
10,C0033578,1
10,C0086457,1
10,C0152234,1
10,C0152426,1
10,C0266453,1
10,C0344479,1
10,C0345904,1
10,C0345967,1
10,C0678222,1
10,C0702169,1
10,C0860207,1
10,C1257931,1
10,C1956346,1
10,C4277682,1
12,C0023794,1
12,C0033578,1
12,C0033975,1
12,C0349204,1
12,C0376358,1
13,C0023893,1
15,C0005587,1
15,C0011570,1
15,C0011581,1
15,C0393770,1
15,C0494410,1
15,C0751760,1
16,C0004138,1
16,C2750090,1
16,C3714756,1
16,C4225361,1
18,C0004352,1
18,C0022333,1
18,C0023380,1
18,C0026825,1
18,C0026827,1
18,C0033922,1
18,C0034933,1
18,C0036572,1
18,C0151572,1
18,C0151888,1
18,C0151889,1
18,C0234146,1
18,C0234533,1
18,C0234535,1
18,C0270824,1
18,C0270844,1
18,C0277839,1
18,C0278211,1
18,C0342708,1
18,C0422850,1
18,C0422855,1
18,C0427201,1
18,C0494475,1
18,C0543888,1
18,C0558845,1
18,C0558846,1
18,C0558847,1
18,C0576612,1
18,C0679465,1
18,C0751056,1
18,C0751110,1
18,C0751123,1
18,C0751330,1
18,C0751456,1
18,C0751468,1
18,C0751469,1
18,C0751470,1
18,C0751472,1
18,C0751473,1
18,C0751474,1
18,C0751475,1
18,C0751476,1
18,C0751478,1
18,C0751481,1
18,C0751494,1
18,C0751495,1
18,C2267233,1
18,C3495874,1
18,C3714756,1
18,C4048158,1
18,C4316903,1
18,C4317109,1
18,C4505436,1
19,C0004153,1
19,C0009402,1
19,C0009404,1
19,C0020445,1
19,C0022661,1
19,C0031117,1
19,C0036341,1
19,C0039292,1
19,C0342898,1
19,C0473527,1
19,C0751544,1
19,C1527249,1
19,C1563937,1
19,C1704429,1
19,C2931838,1
19,C3276941,1
19,C3711531,1
21,C0006142,1
21,C0009404,1
21,C0020192,1
21,C0020542,1
21,C0034069,1
21,C0035220,1
21,C0852283,1
21,C1527249,1
22,C0002896,1
22,C0004134,1
22,C0004138,1
22,C0158995,1
22,C0240991,1
22,C0427190,1
22,C0750940,1
22,C0751651,1
22,C1845028,1
22,C3714756,1
23,C0020517,1
23,C0032285,1
23,C0032300,1
23,C0235874,1
23,C0887898,1
23,C3714636,1
24,C0006142,1
24,C0008924,1
24,C0009402,1
24,C0035334,1
24,C0242383,1
24,C1527249,1
24,C1855465,1
24,C1858806,1
24,C1866422,1
24,C3495438,1
24,C4282180,1
