Gene_ID,Disease_ID,label
1,C0019209,1
2,C0002395,1
2,C0007102,1
2,C0009375,1
2,C0011265,1
2,C0011581,1
2,C0019202,1
2,C0022660,1
2,C0023893,1
2,C0024121,1
2,C0242379,1
2,C0276496,1
2,C0546126,1
2,C0750900,1
2,C0750901,1
2,C2239176,1
2,C3279661,1
9,C0004403,1
9,C0005695,1
9,C0006826,1
9,C0008625,1
9,C0013221,1
9,C0027651,1
9,C0028796,1
9,C0033578,1
9,C0041755,1
9,C0086457,1
9,C0086692,1
10,C0005684,1
10,C0010054,1
10,C0011999,1
10,C0013182,1
10,C0013221,1
10,C0023452,1
10,C0023453,1
10,C0023903,1
10,C0027794,1
10,C0027806,1
10,C0033578,1
10,C0080218,1
10,C0152234,1
10,C0152426,1
10,C0266453,1
10,C0344479,1
10,C0345904,1
10,C0376358,1
10,C0678222,1
10,C1257931,1
10,C1262760,1
10,C1458155,1
10,C1956346,1
10,C3658290,1
10,C4277682,1
10,C4279912,1
12,C0023794,1
12,C0033578,1
12,C0033975,1
15,C0005587,1
15,C0011570,1
15,C0011581,1
15,C0494410,1
15,C0751758,1
15,C0751759,1
15,C0751760,1
15,C0877792,1
16,C0004138,1
16,C0007959,1
16,C0543888,1
16,C2750090,1
18,C0004352,1
18,C0017168,1
18,C0022333,1
18,C0023380,1
18,C0023893,1
18,C0026825,1
18,C0026827,1
18,C0033922,1
18,C0036572,1
18,C0149958,1
18,C0151889,1
18,C0234146,1
18,C0234535,1
18,C0241772,1
18,C0270824,1
18,C0270846,1
18,C0277839,1
18,C0277850,1
18,C0278211,1
18,C0422850,1
18,C0422853,1
18,C0422854,1
18,C0494475,1
18,C0522345,1
18,C0543888,1
18,C0558847,1
18,C0576612,1
18,C0679465,1
18,C0743002,1
18,C0751056,1
18,C0751110,1
18,C0751330,1
18,C0751456,1
18,C0751468,1
18,C0751470,1
18,C0751471,1
18,C0751473,1
18,C0751475,1
18,C0751476,1
18,C0751478,1
18,C0751479,1
18,C0751480,1
18,C0751494,1
18,C0751495,1
18,C0751496,1
18,C0751651,1
18,C2267233,1
18,C3495874,1
18,C4317123,1
18,C4505436,1
19,C0009404,1
19,C0020445,1
19,C0022661,1
19,C0031117,1
19,C0036341,1
19,C0473527,1
19,C0745103,1
19,C1527249,1
19,C1563937,1
19,C1704417,1
19,C1704429,1
19,C3711531,1
21,C0006142,1
21,C0009402,1
21,C0009404,1
21,C0013990,1
21,C0020542,1
21,C0035220,1
21,C0085786,1
21,C0852283,1
21,C1527249,1
21,C1800706,1
21,C1855670,1
22,C0004134,1
22,C0010828,1
22,C0158995,1
22,C0240991,1
22,C0278161,1
22,C0427190,1
22,C0750937,1
22,C0750940,1
22,C0751651,1
22,C1845028,1
23,C0032285,1
23,C0887898,1
23,C1527304,1
23,C3714636,1
24,C0006142,1
24,C0009402,1
24,C0009404,1
24,C0035334,1
24,C0242383,1
24,C0271093,1
24,C1527249,1
24,C1855465,1
24,C1858806,1
24,C1866422,1
24,C3495438,1
25,C0005941,1
25,C0010828,1
25,C0014859,1
25,C0018798,1
25,C0023473,1
25,C0023903,1
25,C0027659,1
25,C0032927,1
25,C0205641,1
25,C0205645,1
25,C0345904,1
25,C0345958,1
