,Drug_ID,Protein_ID,label
0,DB00528,P10635,1
1,DB01242,P08684,1
2,DB01041,P19838,1
3,DB00321,P28221,1
4,DB07342,P09601,1
5,DB04355,P46976,1
6,DB00196,P33261,1
7,DB00620,P06276,1
8,DB00565,Q15822,1
9,DB02209,Q9NVS9,1
10,DB06710,P20813,1
11,DB07724,Q15788,1
12,DB00754,P33261,1
13,DB00420,P25100,1
14,DB01418,Q9BQB6,1
15,DB07718,P00734,1
16,DB00188,P08684,1
17,DB04315,P41091,1
18,DB00898,Q02641,1
19,DB00398,P09619,1
20,DB00051,P31994,1
21,DB00171,P45844,1
22,DB07353,P00734,1
23,DB04010,P09874,1
24,DB00458,P20309,1
25,DB00013,P14543,1
26,DB00321,P13945,1
27,DB04690,P11387,1
28,DB08515,P20618,1
29,DB01671,P00918,1
30,DB07356,P27487,1
31,DB00252,P24462,1
32,DB08846,P68400,1
33,DB00624,P11511,1
34,DB04018,P29474,1
35,DB00622,Q08289,1
36,DB00603,P10632,1
37,DB00203,P18545,1
38,DB00157,P47989,1
39,DB00273,P00918,1
40,DB03243,P07477,1
41,DB05752,P11229,1
42,DB03379,P60174,1
43,DB00338,P04798,1
44,DB05412,P01375,1
45,DB00356,P05177,1
46,#Drug,Gene,1
47,DB07030,P15121,1
48,DB07208,P37231,1
49,DB07239,P27487,1
50,DB00882,P08684,1
51,DB00075,P00736,1
52,DB00370,P08588,1
53,DB06216,P35462,1
54,DB00546,P14867,1
55,DB01496,P47869,1
56,DB01586,P52895,1
57,DB03559,P08319,1
58,DB07585,P49841,1
59,DB00445,P11388,1
60,DB00342,P35367,1
61,DB00394,P20815,1
62,DB02701,P08684,1
63,DB04820,P21964,1
64,DB03345,Q96GD3,1
65,DB02751,Q14353,1
66,DB01237,P35367,1
67,DB00785,P11229,1
68,DB01104,P11712,1
69,DB03793,P51151,1
70,DB00075,O75015,1
71,DB00753,Q09470,1
72,DB03247,Q9NYQ3,1
73,DB08521,P28482,1
74,DB01120,P11712,1
75,DB00593,P20815,1
76,DB00139,O75936,1
77,DB00546,P08684,1
78,DB00146,O15528,1
79,DB00131,O43741,1
80,DB01173,Q8TCU5,1
81,DB08572,P20248,1
82,DB08814,P23219,1
83,DB05198,O14965,1
84,DB00114,Q9GZT4,1
85,DB01049,P18825,1
86,DB04256,Q13255,1
87,DB03351,P00374,1
88,DB01268,P09619,1
89,DB00678,P22309,1
90,DB01073,P27707,1
91,DB00748,P11712,1
92,DB07780,P01116,1
93,DB07125,O43293,1
94,DB07994,P56817,1
95,DB00370,Q01959,1
96,DB00951,P33261,1
97,DB04616,P22303,1
98,DB02269,P07477,1
99,DB07947,P61925,1
100,DB00630,P29074,1
101,DB01149,P31645,1
102,DB06317,Q9NQ25,1
103,DB00617,P05181,1
104,DB04896,P23975,1
105,DB06700,P23975,1
106,DB01213,P11509,1
107,DB00357,P05177,1
108,DB04272,Q9Y275,1
109,DB06858,P07477,1
110,DB04301,P07477,1
111,DB01915,Q9BWD1,1
112,DB02726,P13929,1
113,DB02538,P24941,1
114,DB01351,P14867,1
115,DB04889,P14416,1
116,DB07768,Q04828,1
117,DB00067,P47901,1
118,DB04147,P01595,1
119,DB08910,P01375,1
120,DB00025,P00740,1
121,DB06678,P41595,1
122,DB03945,P02741,1
123,DB00404,Q9UN88,1
124,DB06228,P00742,1
125,DB00772,P20813,1
126,DB00114,P06737,1
127,DB04295,P11217,1
128,DB02379,P01574,1
129,DB03643,P05981,1
130,DB04272,P62312,1
131,DB00805,P11229,1
132,DB08037,P52732,1
133,DB08933,P33261,1
134,DB03345,P09382,1
135,DB00973,P35610,1
136,DB01095,P05177,1
137,DB00567,P08684,1
138,DB00527,Q14524,1
139,DB00540,P23219,1
140,DB00034,P48551,1
141,DB01338,Q15822,1
142,DB00757,P11712,1
143,DB00993,P09488,1
144,DB00962,Q06278,1
145,DB01039,P11712,1
146,DB00882,P11511,1
147,DB06779,P10646,1
148,DB00358,P29274,1
149,DB00947,P03372,1
150,DB08912,P57059,1
151,DB01700,P31939,1
152,DB00376,P20309,1
153,DB00471,Q9Y271,1
154,DB06616,Q02750,1
155,DB04892,P22303,1
156,DB01685,P47989,1
157,DB01588,P47869,1
158,DB05766,P35462,1
159,DB01588,P34903,1
160,DB02471,P11217,1
161,DB01107,P10635,1
162,DB06774,P05181,1
163,DB00604,P28223,1
164,DB07150,Q15788,1
165,DB00377,P05177,1
166,DB05469,P35368,1
167,DB01049,Q9UN88,1
168,DB00316,P54855,1
169,DB00151,P17174,1
170,DB00397,P08588,1
171,DB01169,P05412,1
172,DB02343,P22303,1
173,DB08744,P16083,1
174,DB00967,P35367,1
175,DB04817,P23219,1
176,DB00477,P21918,1
177,DB06730,P24462,1
178,DB00705,P05177,1
179,DB08057,P06239,1
180,DB06712,P08684,1
181,DB04141,O14521,1
182,DB01497,O60858,1
183,DB09078,P35968,1
184,DB08437,Q9UNX3,1
185,DB00289,P23975,1
186,DB00993,P08263,1
187,DB02058,P21802,1
188,DB00605,P04798,1
189,DB00002,P00736,1
190,DB07363,P00918,1
191,DB02494,P61313,1
192,DB02900,P11717,1
193,DB08864,P33261,1
194,DB00141,P15291,1
195,DB06016,P35462,1
196,DB04903,P47869,1
197,DB07624,P28845,1
198,DB06637,P22001,1
199,DB08918,P10635,1
200,DB00201,P08684,1
201,DB08674,P49356,1
202,DB07860,P61925,1
203,DB04450,P08100,1
204,DB02754,P07900,1
205,DB02464,P07477,1
206,DB00162,O95237,1
207,DB00130,O43548,1
208,DB01834,P09488,1
209,DB01241,P05177,1
210,DB05739,P50052,1
211,DB00988,P05177,1
212,DB02709,P05177,1
213,DB00818,P34903,1
214,DB04355,Q7Z4J2,1
215,DB05812,P05093,1
216,DB00162,Q8NBN7,1
217,DB01404,P35869,1
218,DB00527,P06276,1
219,DB02607,P15531,1
220,DB02336,P12931,1
221,DB01942,P00918,1
222,DB00773,P30711,1
223,DB08302,P37231,1
224,DB08816,P08684,1
225,DB06413,P33261,1
226,DB00114,O15269,1
227,DB08901,P11274,1
228,DB08661,P07998,1
229,DB03945,Q96BH3,1
230,DB03169,P04035,1
231,DB00136,P11473,1
232,DB01403,P35348,1
233,DB07583,P17612,1
234,DB01811,P02788,1
235,DB00091,P20815,1
