,Protein1_ID,Protein2_ID,label
0,4223,9391,1
1,84707,342574,1
2,93621,114932,1
3,3224,375791,1
4,9370,163183,1
5,51608,63904,1
6,5966,285987,1
7,5866,11077,1
8,3603,116115,1
9,9260,153020,1
10,7681,83878,1
11,2801,284355,1
12,212,54971,1
13,54942,150962,1
14,55165,55200,1
15,5626,222642,1
16,3190,9444,1
17,373,118812,1
18,3792,135293,1
19,139067,246329,1
20,6653,11281,1
21,85289,388677,1
22,3145,9463,1
23,8175,132660,1
24,4105,6280,1
25,8636,11140,1
26,8517,10569,1
27,3868,7251,1
28,7307,9119,1
29,83695,386681,1
30,202051,375791,1
31,11178,84914,1
32,23281,55093,1
33,2622,84456,1
34,29950,199990,1
35,4188,80256,1
36,5987,80256,1
37,7069,7069,1
38,7681,10174,1
39,5601,254958,1
40,2054,10282,1
41,11043,60493,1
42,11252,29763,1
43,57862,80705,1
44,122183,139105,1
45,9260,139562,1
46,3386,388677,1
47,24144,254122,1
48,9146,80258,1
49,5886,81603,1
50,9586,386682,1
51,79169,541465,1
52,150248,202243,1
53,121391,342574,1
54,4656,55138,1
55,3397,6938,1
56,5626,51265,1
57,90060,123722,1
58,2997,6925,1
59,2800,6293,1
60,7257,23177,1
61,5863,54507,1
62,7766,29775,1
63,57684,80705,1
64,24144,57332,1
65,23281,153769,1
66,6926,122183,1
67,284352,440563,1
68,163,151254,1
69,9766,81850,1
70,146664,146664,1
71,8398,9688,1
72,6386,7919,1
73,6293,152206,1
74,3219,353323,1
75,57050,80321,1
76,4188,65265,1
77,4601,440050,1
78,201181,348093,1
79,56947,338761,1
80,53615,63876,1
81,6602,159195,1
82,3881,90060,1
83,6399,60491,1
84,26121,159163,1
85,65117,116173,1
86,7984,57511,1
87,4188,254187,1
88,4188,7376,1
89,79005,123722,1
90,166,3225,1
91,6631,122183,1
92,57596,84140,1
93,60490,283150,1
94,815,138046,1
95,5601,340527,1
96,27132,54507,1
97,3801,3801,1
98,6230,7541,1
99,9111,66036,1
100,10513,53822,1
101,84914,386681,1
102,5079,79618,1
103,4223,66002,1
104,7186,56850,1
105,9240,60484,1
106,25894,359787,1
107,4115,25959,1
108,7114,440295,1
109,5966,26121,1
110,11077,55337,1
111,4188,374407,1
112,3885,134121,1
113,84277,147872,1
114,26121,126375,1
115,4105,164127,1
116,23339,55823,1
117,3881,6602,1
118,4848,4849,1
119,655,386681,1
120,55093,375791,1
121,250,375791,1
122,440050,448834,1
123,51382,79095,1
124,56997,57085,1
125,7203,145282,1
126,84914,375791,1
127,64753,126070,1
128,6048,80019,1
129,136853,375791,1
130,84313,93426,1
131,8548,54793,1
132,1039,79571,1
133,3880,9146,1
134,4807,401541,1
135,81851,353135,1
136,7186,92129,1
137,1656,65986,1
138,29775,285971,1
139,271,271,1
140,11281,378108,1
141,4184,387266,1
142,78996,162632,1
143,79165,440295,1
144,1993,5626,1
145,51282,55888,1
146,54502,54754,1
147,11211,81851,1
148,2354,27128,1
149,4292,8864,1
150,57332,60468,1
151,22954,23463,1
152,9482,10791,1
153,1295,3198,1
154,4879,375791,1
155,1776,3846,1
156,373,6615,1
157,9099,10640,1
158,5176,9852,1
159,80256,80258,1
160,51545,123722,1
161,9111,11147,1
162,154881,154881,1
163,9463,80184,1
164,7185,164127,1
165,8688,54058,1
166,5080,51550,1
167,94121,221504,1
168,7584,51361,1
169,9500,64744,1
170,353140,353333,1
171,10524,80318,1
172,8646,83755,1
173,9657,23641,1
174,25828,57147,1
175,211,7120,1
176,10214,342574,1
177,5493,147183,1
178,5565,81850,1
179,10464,64147,1
180,6692,29978,1
181,54507,84616,1
182,4086,4089,1
183,1857,80764,1
184,57536,196483,1
185,969,147744,1
186,8697,222546,1
187,2801,56852,1
188,4163,79811,1
189,3881,83755,1
190,2801,5300,1
191,9463,9759,1
192,6002,135293,1
193,23371,51213,1
194,145483,440295,1
195,1896,4118,1
196,6938,6943,1
197,3885,167838,1
198,51361,143884,1
199,23201,84528,1
200,6919,158405,1
201,4591,94121,1
202,5518,6801,1
203,27037,116412,1
204,4223,55898,1
205,373,152206,1
206,4665,6924,1
207,3885,9724,1
208,54971,283150,1
209,26040,64663,1
210,54550,54550,1
211,9798,27324,1
212,5987,55093,1
213,386675,386681,1
214,9610,254958,1
215,8687,121391,1
216,55110,57786,1
217,373,55138,1
218,29107,56000,1
219,4188,10781,1
220,29922,339005,1
221,5626,10059,1
222,93986,128229,1
