,Gene_ID,Disease_ID,label
0,590,C3889606,1
1,1482,C0039685,1
2,1778,C0007959,1
3,7291,C3714756,1
4,55777,C0005586,1
5,6774,C0205697,1
6,10381,C0007820,1
7,1191,C0022333,1
8,2906,C0036341,1
9,6336,C1721096,1
10,80774,C0678222,1
11,9573,C0009363,1
12,3162,C3658290,1
13,7128,C0021368,1
14,6927,C0205734,1
15,2720,C0007194,1
16,2177,C4025414,1
17,11197,C0009404,1
18,3320,C0019693,1
19,11284,C1563696,1
20,140628,C0149630,1
21,186,C0024668,1
22,4719,C0038356,1
23,7052,C1266043,1
24,3652,C0009402,1
25,8894,C1257931,1
26,3164,C0021655,1
27,1861,C0752202,1
28,4247,C0000786,1
29,4318,C2936380,1
30,4035,C0263429,1
31,147138,C0014522,1
32,1106,C0751111,1
33,6716,C0520477,1
34,100288687,C0023453,1
35,1499,C0206686,1
36,4771,C0086543,1
37,5770,C0079731,1
38,4864,C0004138,1
39,81794,C0265313,1
40,177,C0751214,1
41,489,C0205647,1
42,4282,C0011581,1
43,407033,C0282313,1
44,27077,C0023893,1
45,1728,C0023895,1
46,43,C0235078,1
47,5443,C0154695,1
48,10686,C0002452,1
49,79759,C0006142,1
50,135,C0541798,1
51,2132,C0282577,1
52,675,C1861028,1
53,1493,C0005586,1
54,4843,C4317123,1
55,146059,C0158995,1
56,140733,C1510472,1
57,6714,C0009319,1
58,5328,C0027626,1
59,595,C0549473,1
60,6469,C0751414,1
61,358,C0020538,1
62,10280,C0023186,1
63,7840,C0268425,1
64,9927,C0037773,1
65,29925,C3714756,1
66,55806,C0002170,1
67,4089,C0003886,1
68,384,C0027540,1
69,2516,C0238395,1
70,348,C1565489,1
71,100302221,C1262760,1
72,64478,C0005586,1
73,345611,C1834752,1
74,5054,C0004153,1
75,84654,C1708349,1
76,2072,C0751364,1
77,2245,C3275558,1
78,55315,C3489396,1
79,4524,C0007102,1
80,5020,C0751325,1
81,3778,C0018273,1
82,374291,C2936907,1
83,4705,C0023264,1
84,7430,C0033578,1
85,5174,C0010606,1
86,79188,C1450051,1
87,55869,C3714756,1
88,1288,C3806737,1
89,2670,C0458247,1
90,1233,C0345904,1
91,5502,C0033141,1
92,2100,C0205642,1
93,284098,C1855923,1
94,5730,C0005586,1
95,135,C0282126,1
96,5781,C1879321,1
97,5328,C0750970,1
