,Drug1_ID,Drug2_ID,label
0,DB00425,DB00831,1
1,DB00252,DB01018,1
2,DB00246,DB00413,1
3,DB00199,DB00331,1
4,DB00872,DB01200,1
5,DB00252,DB06237,1
6,DB00199,DB00682,1
7,DB00230,DB06204,1
8,DB00014,DB00104,1
9,DB00321,DB08976,1
10,DB00673,DB06273,1
11,DB00382,DB00831,1
12,DB00900,DB01601,1
13,DB00422,DB00524,1
14,DB00211,DB00343,1
15,DB00673,DB01624,1
16,DB00237,DB06706,1
17,DB00015,DB01551,1
18,DB00035,DB00652,1
19,DB00468,DB00999,1
20,DB00484,DB01203,1
21,DB00322,DB00559,1
22,DB00697,DB00714,1
23,DB00021,DB00376,1
24,DB01030,DB01320,1
25,DB00871,DB11124,1
26,DB00159,DB09053,1
27,DB00871,DB01064,1
28,DB01263,DB01624,1
29,DB01181,DB06688,1
30,DB00182,DB00854,1
31,DB01171,DB09271,1
32,DB00790,DB00945,1
33,DB00628,DB02703,1
34,DB00266,DB01140,1
35,DB00281,DB09048,1
36,DB00414,DB04574,1
37,DB00595,DB06723,1
38,DB01118,DB01418,1
39,DB01026,DB08864,1
40,DB00264,DB01115,1
41,DB00771,DB01021,1
42,DB00834,DB06605,1
43,DB09068,DB09211,1
44,DB00222,DB04574,1
45,DB06414,DB09102,1
46,DB01397,DB06813,1
47,DB00250,DB09118,1
48,DB00651,DB01193,1
49,DB01015,DB09268,1
50,DB00400,DB00418,1
51,DB00224,DB00860,1
52,DB00196,DB00897,1
53,DB00086,DB00285,1
54,DB00370,DB00906,1
55,DB00422,DB06288,1
56,DB00332,DB01036,1
57,DB00424,DB06723,1
58,DB00953,DB01224,1
59,DB00823,DB01120,1
60,DB00381,DB08935,1
61,DB00451,DB09407,1
62,DB00181,DB01151,1
63,DB01049,DB06808,1
64,DB00834,DB00906,1
65,DB00864,DB08907,1
66,DB00959,DB00976,1
67,DB01020,DB02703,1
68,DB04908,DB08909,1
69,DB01038,DB06700,1
70,DB00528,DB09063,1
71,DB00237,DB00400,1
72,DB04574,DB08882,1
73,DB01591,DB09118,1
74,DB00934,DB01238,1
75,DB00029,DB01240,1
76,DB00559,DB01229,1
77,DB00401,DB01143,1
78,DB00465,DB06271,1
79,DB00266,DB01606,1
80,DB00233,DB06813,1
81,DB00601,DB01175,1
82,DB00091,DB00227,1
83,DB00325,DB00484,1
84,DB00181,DB00413,1
85,DB00452,DB00766,1
86,DB00557,DB00726,1
87,DB00073,DB00571,1
