Drug1_ID,Drug2_ID,label
DB00575,DB00806,1
DB01235,DB01275,1
DB00018,DB00333,1
DB00201,DB01609,1
DB00712,DB01418,1
DB01576,DB04842,1
DB01017,DB01142,1
DB00214,DB01174,1
DB00104,DB00908,1
DB00569,DB01109,1
DB01222,DB09063,1
DB00898,DB01589,1
DB00762,DB09054,1
DB00780,DB01158,1
DB00186,DB09071,1
DB01248,DB06688,1
DB00484,DB00881,1
DB00368,DB01551,1
DB00054,DB00605,1
DB01320,DB09061,1
DB01167,DB01320,1
DB00186,DB00572,1
DB00921,DB09272,1
DB00041,DB00381,1
DB00717,DB06404,1
DB01167,DB01215,1
DB01100,DB06201,1
DB01095,DB01393,1
DB08883,DB09072,1
DB00865,DB01623,1
DB00211,DB00316,1
DB00422,DB00876,1
DB00997,DB04905,1
DB00177,DB09401,1
DB01211,DB01215,1
DB01268,DB01394,1
DB00623,DB00656,1
DB00834,DB09039,1
DB00675,DB05812,1
DB00215,DB00420,1
DB00624,DB00834,1
DB00780,DB00918,1
DB00070,DB01222,1
DB01104,DB01296,1
DB00390,DB00986,1
DB01207,DB06228,1
DB00618,DB09146,1
DB00108,DB01234,1
DB09118,DB09128,1
DB00413,DB00972,1
DB08873,DB08881,1
DB00397,DB00983,1
DB00503,DB00758,1
DB00126,DB00717,1
DB00243,DB08889,1
DB01151,DB09072,1
DB00367,DB01124,1
DB00182,DB00816,1
DB00328,DB04272,1
DB00715,DB01268,1
DB01036,DB06290,1
DB01201,DB09068,1
DB01233,DB01238,1
DB01184,DB09065,1
DB00204,DB00887,1
DB04855,DB09053,1
DB00501,DB01142,1
DB00337,DB01181,1
DB00366,DB00470,1
DB00816,DB00871,1
DB00542,DB09282,1
DB01224,DB04876,1
DB06480,DB09123,1
DB00582,DB00622,1
DB00864,DB01320,1
DB00252,DB01026,1
DB01151,DB05271,1
DB00046,DB09043,1
DB00767,DB09068,1
DB00628,DB00653,1
DB04905,DB08931,1
DB04938,DB09063,1
DB00451,DB09407,1
DB00864,DB00991,1
DB00960,DB01119,1
DB00737,DB06204,1
DB00195,DB00237,1
DB00798,DB01163,1
DB00401,DB00648,1
DB01323,DB06789,1
DB00273,DB06282,1
DB00802,DB01021,1
DB00284,DB01208,1
DB00673,DB08912,1
DB01038,DB01577,1
DB00310,DB00391,1
DB01023,DB01235,1
DB00898,DB01100,1
DB00334,DB01553,1
DB00408,DB00952,1
DB00054,DB01395,1
DB00232,DB00237,1
DB00252,DB00903,1
DB00657,DB01145,1
DB00031,DB06779,1
DB00188,DB09118,1
DB00834,DB01115,1
DB00959,DB09220,1
DB00752,DB01276,1
DB01418,DB08816,1
DB00208,DB06271,1
DB00687,DB06335,1
DB00196,DB00338,1
DB00619,DB04905,1
DB00029,DB06605,1
DB04946,DB09072,1
DB01174,DB08864,1
DB00715,DB00754,1
DB06287,DB09054,1
DB00880,DB01016,1
DB00688,DB08795,1
DB00479,DB00535,1
DB00422,DB00502,1
DB00752,DB00937,1
DB06772,DB09063,1
DB00682,DB06695,1
DB00196,DB00758,1
DB00343,DB00794,1
DB00390,DB00500,1
DB00864,DB08916,1
DB00450,DB09271,1
DB00409,DB06684,1
DB00327,DB01247,1
DB00706,DB01012,1
DB06153,DB08897,1
DB00108,DB04572,1
DB00069,DB00495,1
DB00384,DB09242,1
DB00408,DB01403,1
DB00280,DB06717,1
DB01167,DB06218,1
DB00374,DB00700,1
DB00136,DB06290,1
DB00715,DB00950,1
DB00726,DB01560,1
DB00078,DB00605,1
DB01576,DB01618,1
DB00069,DB04817,1
DB00875,DB09068,1
DB00540,DB06144,1
DB00452,DB01150,1
DB01201,DB08882,1
DB00384,DB00652,1
DB00182,DB00321,1
DB00705,DB09068,1
DB00420,DB01037,1
DB00790,DB00814,1
DB01158,DB09063,1
DB00311,DB00497,1
DB00220,DB01320,1
DB00679,DB01075,1
DB01229,DB08895,1
DB01600,DB01609,1
DB01251,DB09564,1
DB00714,DB00834,1
DB00363,DB01238,1
DB00472,DB00765,1
DB01556,DB09080,1
DB00682,DB04855,1
DB01120,DB01601,1
DB01211,DB06287,1
DB00820,DB00932,1
DB00559,DB00608,1
DB01167,DB01224,1
DB00181,DB09118,1
DB01041,DB06282,1
DB00177,DB00876,1
DB00675,DB01156,1
DB00661,DB01319,1
DB00924,DB05812,1
DB00215,DB01184,1
DB08933,DB09039,1
DB00220,DB06218,1
DB09272,DB09300,1
DB00289,DB00932,1
DB00573,DB00974,1
DB00457,DB00668,1
DB06273,DB06616,1
DB00490,DB01045,1
DB00524,DB00776,1
DB00736,DB04868,1
DB00201,DB01398,1
DB00176,DB09071,1
DB00909,DB02703,1
DB00997,DB09118,1
DB00201,DB06704,1
DB00454,DB01624,1
DB00258,DB00393,1
DB00480,DB09033,1
DB00653,DB00842,1
DB00472,DB09042,1
DB00035,DB00741,1
DB00311,DB00611,1
DB00540,DB00653,1
DB00872,DB01072,1
DB00648,DB01023,1
DB00683,DB01026,1
DB01609,DB04938,1
DB00268,DB00690,1
DB00046,DB01200,1
DB01254,DB01390,1
DB00499,DB09277,1
DB00277,DB01178,1
DB00252,DB09071,1
DB00390,DB06715,1
DB00623,DB00989,1
DB01175,DB06271,1
DB01320,DB04825,1
DB00541,DB09118,1
DB06273,DB08910,1
DB00285,DB04842,1
DB00540,DB06704,1
DB00494,DB00715,1
DB00946,DB06441,1
DB06603,DB09036,1
DB01126,DB01264,1
DB00633,DB01353,1
DB00312,DB01214,1
DB01120,DB01169,1
DB00046,DB09128,1
DB00091,DB06589,1
DB06203,DB06719,1
DB00215,DB00871,1
DB00015,DB08794,1
DB00635,DB00956,1
DB00498,DB09539,1
DB00398,DB09065,1
DB00867,DB00945,1
DB00796,DB00806,1
DB00072,DB00515,1
DB00401,DB00692,1
DB00528,DB01377,1
DB00653,DB01068,1
DB00370,DB00484,1
DB00675,DB04938,1
DB00916,DB01418,1
DB00181,DB00611,1
DB00273,DB00425,1
DB00328,DB00452,1
DB00408,DB00865,1
DB00794,DB01203,1
DB00477,DB01037,1
DB00224,DB00897,1
DB00549,DB09063,1
DB01104,DB04272,1
DB00945,DB09564,1
DB00401,DB08873,1
DB00707,DB05239,1
DB00497,DB09042,1
DB00215,DB00358,1
DB00661,DB04905,1
DB00186,DB00268,1
DB00503,DB08914,1
DB00363,DB00656,1
DB00231,DB08883,1
DB04897,DB09063,1
DB00541,DB01234,1
DB01132,DB01398,1
DB00687,DB01208,1
DB00610,DB00983,1
DB00014,DB00204,1
DB00041,DB06781,1
DB06684,DB09065,1
DB00661,DB00697,1
DB00502,DB09073,1
DB00794,DB01197,1
DB01167,DB08864,1
DB00363,DB00414,1
DB00684,DB00887,1
DB00307,DB06335,1
DB00559,DB01241,1
DB00752,DB06698,1
DB00191,DB00295,1
DB00794,DB06212,1
DB00752,DB00831,1
DB00598,DB06707,1
DB00714,DB00904,1
DB00312,DB00742,1
DB00761,DB00950,1
DB00974,DB06209,1
DB00618,DB09267,1
DB04868,DB09073,1
DB00780,DB01247,1
DB01171,DB04884,1
DB00916,DB04339,1
DB00598,DB00794,1
DB01201,DB04845,1
DB04845,DB09063,1
DB00007,DB01124,1
DB00794,DB08901,1
DB00029,DB09068,1
DB00051,DB00337,1
DB00320,DB00409,1
DB00604,DB09054,1
DB00366,DB00761,1
DB01167,DB08901,1
DB06288,DB09042,1
DB01095,DB01118,1
DB00794,DB00903,1
DB01223,DB09273,1
DB00450,DB09128,1
DB06207,DB06273,1
DB00332,DB00782,1
DB00425,DB01100,1
DB00300,DB00784,1
DB06706,DB09042,1
DB00862,DB00883,1
DB01178,DB09097,1
DB00246,DB00834,1
DB00313,DB00358,1
DB00732,DB00908,1
DB00794,DB06697,1
DB00648,DB04574,1
DB01120,DB09046,1
DB00281,DB01210,1
DB00215,DB00686,1
DB01600,DB08794,1
DB01253,DB09118,1
DB00264,DB00622,1
DB00337,DB06287,1
DB00440,DB00542,1
DB00761,DB01403,1
DB00295,DB00366,1
DB00220,DB09547,1
DB00625,DB06414,1
