Drug1_ID,Drug2_ID,label
DB00862,DB00966,1
DB01151,DB08883,1
DB00018,DB00333,1
DB00712,DB01418,1
DB01609,DB06212,1
DB00382,DB06153,1
DB00214,DB01174,1
DB00104,DB00908,1
DB00569,DB01109,1
DB01222,DB09063,1
DB00898,DB01589,1
DB00762,DB09054,1
DB00780,DB01158,1
DB01248,DB06688,1
DB00484,DB00881,1
DB00396,DB00682,1
DB00054,DB00605,1
DB01320,DB09061,1
DB01167,DB01320,1
DB00186,DB00572,1
DB00921,DB09272,1
DB00999,DB01114,1
DB01242,DB09042,1
DB01167,DB01215,1
DB00072,DB00305,1
DB08883,DB09072,1
DB00865,DB01623,1
DB00211,DB00316,1
DB00422,DB00876,1
DB00177,DB09401,1
DB01211,DB01215,1
DB00603,DB01418,1
DB00623,DB00656,1
DB00834,DB09039,1
DB00675,DB05812,1
DB00215,DB00420,1
DB00401,DB09059,1
DB00625,DB00956,1
DB00780,DB00918,1
DB00070,DB01222,1
DB01104,DB01296,1
DB00443,DB00672,1
DB01207,DB06228,1
DB00252,DB01182,1
DB01166,DB06636,1
DB00108,DB01234,1
DB09118,DB09128,1
DB00413,DB00972,1
DB08873,DB08881,1
DB00397,DB00983,1
DB00503,DB00758,1
DB00243,DB08889,1
DB00503,DB00813,1
DB01151,DB09072,1
DB00367,DB01124,1
DB00182,DB00816,1
DB00328,DB04272,1
DB00502,DB01367,1
DB00257,DB01100,1
DB00715,DB01268,1
DB01036,DB06290,1
DB01201,DB09068,1
DB01233,DB01238,1
DB01184,DB09065,1
DB00204,DB00887,1
DB04855,DB09053,1
DB00482,DB06779,1
DB00501,DB01142,1
DB00046,DB00957,1
DB00816,DB00871,1
DB00542,DB09282,1
DB00959,DB08873,1
DB01021,DB06203,1
DB06480,DB09123,1
DB01259,DB04905,1
DB00252,DB01026,1
DB01151,DB05271,1
DB00628,DB00653,1
DB04905,DB08931,1
DB04938,DB09063,1
DB00420,DB00934,1
DB00451,DB09407,1
DB00864,DB00991,1
DB00960,DB01119,1
DB00737,DB06204,1
DB00195,DB00237,1
DB00798,DB01163,1
DB00401,DB00648,1
DB01323,DB06789,1
DB00273,DB06282,1
DB00802,DB01021,1
DB00673,DB08912,1
DB01038,DB01577,1
DB01023,DB01235,1
DB00898,DB01100,1
