Drug1_ID,Drug2_ID,label
DB00862,DB00966,1
DB01242,DB08893,1
DB01151,DB08883,1
DB00018,DB00333,1
DB00201,DB01609,1
DB00712,DB01418,1
DB01576,DB04842,1
DB00382,DB06153,1
DB01017,DB01142,1
DB00214,DB01174,1
DB00569,DB01109,1
DB01222,DB09063,1
DB00762,DB09054,1
DB00780,DB01158,1
DB00186,DB09071,1
DB00484,DB00881,1
DB00396,DB00682,1
DB00368,DB01551,1
DB00054,DB00605,1
DB01167,DB01320,1
DB00921,DB09272,1
DB01242,DB09042,1
DB00041,DB00381,1
DB00072,DB00305,1
DB01100,DB06201,1
DB08883,DB09072,1
DB00211,DB00316,1
DB00997,DB04905,1
DB00177,DB09401,1
DB00623,DB00656,1
DB00104,DB08881,1
DB00675,DB05812,1
DB00401,DB09059,1
DB00625,DB00956,1
DB00624,DB00834,1
DB00070,DB01222,1
DB01104,DB01296,1
DB00443,DB00672,1
DB01207,DB06228,1
DB00618,DB09146,1
DB00252,DB01182,1
DB01166,DB06636,1
DB00108,DB01234,1
DB09118,DB09128,1
DB00413,DB00972,1
DB00503,DB00758,1
DB00126,DB00717,1
DB00243,DB08889,1
DB00503,DB00813,1
DB01151,DB09072,1
DB00238,DB01319,1
DB00182,DB00816,1
DB00328,DB04272,1
DB00257,DB01100,1
DB00715,DB01268,1
DB01201,DB09068,1
DB00418,DB01054,1
DB01233,DB01238,1
DB00204,DB00887,1
DB04855,DB09053,1
DB00482,DB06779,1
DB00501,DB01142,1
DB00046,DB00957,1
DB00366,DB00470,1
DB00816,DB00871,1
DB00542,DB09282,1
DB00959,DB08873,1
DB01224,DB04876,1
DB06480,DB09123,1
DB00193,DB05521,1
DB00623,DB09076,1
DB01029,DB08935,1
DB00864,DB01320,1
DB00252,DB01026,1
DB00628,DB00653,1
DB04905,DB08931,1
DB00420,DB00934,1
DB00451,DB09407,1
DB00864,DB00991,1
DB00960,DB01119,1
DB00737,DB06204,1
DB00195,DB00237,1
DB00401,DB00648,1
DB01323,DB06789,1
DB00273,DB06282,1
DB01223,DB01558,1
DB00802,DB01021,1
DB00284,DB01208,1
DB00673,DB08912,1
DB01038,DB01577,1
DB00310,DB00391,1
DB00898,DB01100,1
DB00334,DB01553,1
DB00912,DB01403,1
DB00571,DB08881,1
DB00054,DB01395,1
DB00232,DB00237,1
DB00657,DB01145,1
DB00031,DB06779,1
DB00508,DB00514,1
DB00834,DB01115,1
DB00796,DB01119,1
DB00752,DB01276,1
DB01418,DB08816,1
DB00820,DB00999,1
DB00196,DB00338,1
DB00619,DB04905,1
DB00794,DB00921,1
DB01174,DB08864,1
DB06287,DB09054,1
DB00880,DB01016,1
DB00688,DB08795,1
DB00569,DB08976,1
DB00752,DB00937,1
DB00682,DB06695,1
DB00343,DB00794,1
DB00390,DB00500,1
DB00864,DB08916,1
DB00409,DB06684,1
DB00611,DB00972,1
DB00706,DB01012,1
DB06153,DB08897,1
DB00620,DB01307,1
DB00069,DB00495,1
DB00384,DB09242,1
DB00408,DB01403,1
DB00280,DB06717,1
DB00312,DB00796,1
DB01167,DB06218,1
DB00374,DB00700,1
DB00715,DB00950,1
DB00625,DB00813,1
DB01576,DB01618,1
DB00875,DB09068,1
DB01062,DB01072,1
DB00540,DB06144,1
DB00452,DB01150,1
DB01201,DB08882,1
DB00384,DB00652,1
DB00182,DB00321,1
DB00705,DB09068,1
DB00830,DB01274,1
DB00420,DB01037,1
DB00790,DB00814,1
DB01158,DB09063,1
DB00311,DB00497,1
DB00220,DB01320,1
DB00741,DB04876,1
DB01229,DB08895,1
DB00410,DB09268,1
DB00888,DB01656,1
DB01009,DB09026,1
DB00188,DB00736,1
DB01600,DB01609,1
DB00056,DB08895,1
DB00608,DB00612,1
DB00641,DB09036,1
DB01251,DB09564,1
DB00714,DB00834,1
DB00177,DB01109,1
DB00363,DB01238,1
DB01204,DB06688,1
DB01211,DB06287,1
DB00368,DB01274,1
DB00503,DB00938,1
DB00554,DB03619,1
DB00559,DB00608,1
DB01167,DB01224,1
DB00181,DB09118,1
DB01021,DB01591,1
DB00177,DB00876,1
DB00675,DB01156,1
DB00924,DB05812,1
DB00300,DB00573,1
DB00215,DB01184,1
DB00904,DB09068,1
DB09272,DB09300,1
DB00289,DB00932,1
DB00573,DB00974,1
DB06273,DB06616,1
DB00524,DB00776,1
DB00736,DB04868,1
DB00176,DB09071,1
DB00909,DB02703,1
DB00997,DB09118,1
DB00201,DB06704,1
DB00258,DB00393,1
DB00480,DB09033,1
DB00653,DB00842,1
DB00472,DB09042,1
DB00311,DB00611,1
DB00540,DB00653,1
DB00872,DB01072,1
DB00648,DB01023,1
DB01609,DB04938,1
DB00268,DB00690,1
DB00231,DB00333,1
DB00046,DB01200,1
DB00252,DB01264,1
DB00541,DB00564,1
DB00499,DB09277,1
DB00220,DB00361,1
DB00252,DB09071,1
DB01175,DB06271,1
DB01320,DB04825,1
DB00541,DB09118,1
DB00425,DB00628,1
DB06273,DB08910,1
DB00540,DB06704,1
DB00404,DB00972,1
DB04841,DB09104,1
DB06603,DB09036,1
DB00379,DB00980,1
DB01126,DB01264,1
DB00312,DB01214,1
DB00046,DB09128,1
DB00091,DB06589,1
DB00455,DB04924,1
DB00677,DB01049,1
DB01069,DB09280,1
DB00215,DB00871,1
DB01023,DB09407,1
DB00635,DB00956,1
DB00498,DB09539,1
DB00796,DB00806,1
DB00250,DB01015,1
DB00401,DB00692,1
DB00399,DB00798,1
DB00528,DB01377,1
DB00263,DB00393,1
DB00653,DB01068,1
DB00675,DB04938,1
DB00181,DB00611,1
DB00328,DB00452,1
DB00408,DB00865,1
DB00752,DB09038,1
DB00794,DB01203,1
DB00224,DB00897,1
DB00549,DB09063,1
DB00295,DB01203,1
DB00252,DB00564,1
DB01104,DB04272,1
DB00945,DB09564,1
DB00401,DB08873,1
DB00707,DB05239,1
DB00497,DB09042,1
DB00215,DB00358,1
DB00477,DB06700,1
DB00484,DB08815,1
DB00864,DB01016,1
DB00391,DB01104,1
DB00503,DB08914,1
DB01129,DB06695,1
DB00363,DB00656,1
DB04897,DB09063,1
DB04905,DB06695,1
DB00541,DB01234,1
DB01132,DB01398,1
DB00054,DB00932,1
DB00610,DB00983,1
DB00014,DB00204,1
DB00041,DB06781,1
DB06684,DB09065,1
DB00193,DB00344,1
DB01029,DB01392,1
DB00661,DB00697,1
DB01167,DB08864,1
DB00363,DB00414,1
DB00307,DB06335,1
DB00559,DB01241,1
DB00191,DB00295,1
DB00794,DB06212,1
DB00714,DB00904,1
DB00196,DB00401,1
DB00366,DB00434,1
DB00618,DB09267,1
DB01016,DB01119,1
DB04868,DB09073,1
DB00780,DB01247,1
DB01171,DB04884,1
DB00091,DB00126,1
DB00695,DB00802,1
DB01201,DB04845,1
DB04845,DB09063,1
DB00007,DB01124,1
DB00794,DB08901,1
DB00266,DB01241,1
DB00320,DB00409,1
DB00366,DB00761,1
DB01167,DB08901,1
