,Drug1_ID,Drug2_ID,label
0,DB00222,DB01124,1
1,DB00675,DB01220,1
2,DB00611,DB00854,1
3,DB01225,DB08976,1
4,DB00903,DB08882,1
5,DB00997,DB08865,1
6,DB00159,DB01285,1
7,DB00881,DB06212,1
8,DB01323,DB09071,1
9,DB00040,DB00682,1
10,DB00181,DB00404,1
11,DB00331,DB01621,1
12,DB00957,DB01418,1
13,DB01124,DB06663,1
14,DB01319,DB08907,1
15,DB00613,DB05812,1
16,DB00519,DB01395,1
17,DB00202,DB03615,1
18,DB00013,DB00261,1
19,DB01220,DB06290,1
20,DB00863,DB01319,1
21,DB00563,DB04905,1
22,DB00208,DB03619,1
23,DB00072,DB00619,1
24,DB00206,DB01049,1
25,DB00834,DB01323,1
26,DB00549,DB00613,1
27,DB00731,DB02901,1
28,DB01064,DB06706,1
29,DB00418,DB00876,1
30,DB01118,DB05521,1
31,DB00073,DB00692,1
32,DB00182,DB01129,1
33,DB00437,DB01223,1
34,DB00950,DB01045,1
35,DB00072,DB00480,1
36,DB00434,DB09271,1
37,DB01238,DB09401,1
38,DB01320,DB08907,1
39,DB00723,DB00852,1
40,DB00220,DB00338,1
41,DB00420,DB01104,1
42,DB00199,DB01016,1
43,DB00180,DB00976,1
44,DB00296,DB00537,1
45,DB00014,DB00107,1
46,DB00585,DB09027,1
47,DB00163,DB01083,1
48,DB00700,DB00761,1
49,DB00474,DB06148,1
50,DB04855,DB04908,1
51,DB00425,DB06216,1
52,DB00343,DB00607,1
53,DB01427,DB11110,1
54,DB00422,DB00871,1
55,DB00582,DB01253,1
56,DB00254,DB01605,1
57,DB00204,DB00582,1
58,DB00363,DB00526,1
59,DB00912,DB06663,1
60,DB01067,DB04339,1
61,DB00762,DB01320,1
62,DB01020,DB02703,1
63,DB00897,DB01234,1
64,DB00322,DB00731,1
65,DB00205,DB00250,1
66,DB00950,DB09271,1
67,DB00343,DB00457,1
68,DB00958,DB06688,1
69,DB00235,DB08931,1
70,DB09026,DB09242,1
71,DB01026,DB06287,1
72,DB01600,DB09026,1
73,DB00612,DB00794,1
74,DB00455,DB00921,1
75,DB00213,DB01167,1
76,DB00091,DB04855,1
77,DB00393,DB08820,1
78,DB00315,DB00477,1
79,DB00081,DB00266,1
80,DB00073,DB00206,1
81,DB01264,DB06335,1
82,DB00409,DB06684,1
83,DB00819,DB01083,1
84,DB00136,DB11110,1
85,DB01211,DB01320,1
86,DB00674,DB00834,1
87,DB00627,DB00641,1
88,DB00047,DB01264,1
89,DB00559,DB00590,1
90,DB00337,DB00635,1
91,DB00307,DB00619,1
92,DB01144,DB01354,1
93,DB01032,DB01329,1
94,DB00223,DB09063,1
95,DB00715,DB00765,1
96,DB00557,DB00985,1
97,DB00181,DB00844,1
98,DB00187,DB00708,1
99,DB00679,DB00813,1
100,DB01072,DB06273,1
101,DB00900,DB00932,1
102,DB00979,DB06148,1
103,DB00572,DB09271,1
104,DB00315,DB01238,1
105,DB00648,DB00661,1
106,DB00377,DB06204,1
107,DB00864,DB01609,1
108,DB00519,DB01590,1
109,DB00470,DB00841,1
110,DB00486,DB00950,1
111,DB01238,DB01320,1
112,DB01049,DB01211,1
113,DB00333,DB00495,1
114,DB06616,DB09036,1
115,DB04908,DB08883,1
116,DB08813,DB08935,1
117,DB00734,DB01367,1
118,DB00813,DB06144,1
119,DB00898,DB09128,1
120,DB01174,DB09053,1
121,DB00182,DB01356,1
122,DB00794,DB01210,1
123,DB00657,DB00794,1
124,DB00285,DB00712,1
125,DB00564,DB00932,1
126,DB03619,DB08813,1
127,DB00682,DB00833,1
128,DB00367,DB00625,1
129,DB00009,DB01225,1
130,DB00763,DB01223,1
131,DB01253,DB01254,1
132,DB00014,DB00656,1
133,DB00213,DB06616,1
134,DB00486,DB00490,1
135,DB01355,DB09401,1
136,DB00427,DB01407,1
137,DB00968,DB01143,1
138,DB00717,DB01276,1
139,DB01377,DB08860,1
140,DB00700,DB06636,1
141,DB00708,DB00972,1
142,DB00564,DB08907,1
143,DB00237,DB00883,1
144,DB00252,DB01008,1
145,DB00320,DB04884,1
146,DB00831,DB09076,1
147,DB00851,DB05812,1
148,DB00450,DB00494,1
149,DB00304,DB01120,1
150,DB00054,DB00396,1
151,DB01100,DB09083,1
152,DB00089,DB08899,1
153,DB00196,DB00745,1
154,DB00820,DB01072,1
155,DB00605,DB00932,1
156,DB00904,DB01069,1
157,DB00031,DB01398,1
158,DB01026,DB01126,1
159,DB00328,DB01082,1
160,DB00687,DB01097,1
161,DB00195,DB00457,1
162,DB00238,DB01072,1
163,DB00180,DB01045,1
164,DB00773,DB00872,1
165,DB00590,DB01074,1
166,DB00872,DB00921,1
167,DB08907,DB09123,1
168,DB00193,DB00224,1
169,DB00657,DB08935,1
170,DB00282,DB00784,1
171,DB00816,DB09080,1
172,DB00407,DB01197,1
173,DB00248,DB00436,1
174,DB01320,DB04855,1
175,DB00564,DB06589,1
176,DB00470,DB06283,1
177,DB00250,DB09401,1
178,DB00250,DB00359,1
179,DB00767,DB00953,1
180,DB00331,DB00334,1
181,DB01063,DB09097,1
182,DB00316,DB00619,1
183,DB00216,DB00661,1
184,DB00177,DB00806,1
185,DB00007,DB01261,1
186,DB00325,DB00422,1
187,DB00761,DB00768,1
188,DB00612,DB06709,1
189,DB00834,DB00875,1
190,DB00401,DB00422,1
191,DB00860,DB02901,1
192,DB00497,DB01037,1
193,DB00820,DB01136,1
194,DB06287,DB08895,1
195,DB00193,DB01175,1
196,DB01151,DB01392,1
197,DB00544,DB00916,1
198,DB01041,DB01189,1
199,DB00582,DB01072,1
200,DB00082,DB00280,1
201,DB00285,DB01254,1
202,DB00193,DB06144,1
203,DB00425,DB06283,1
204,DB00661,DB06616,1
205,DB00264,DB00363,1
206,DB01609,DB06335,1
207,DB09034,DB09036,1
208,DB00921,DB06414,1
209,DB04835,DB06414,1
210,DB00220,DB00863,1
211,DB01166,DB01264,1
212,DB06290,DB08931,1
213,DB00620,DB01398,1
214,DB00201,DB00819,1
215,DB01403,DB04844,1
216,DB00622,DB06273,1
217,DB00443,DB01609,1
218,DB00367,DB09036,1
219,DB08864,DB09063,1
220,DB00752,DB05039,1
221,DB00904,DB09042,1
222,DB01175,DB09042,1
223,DB00108,DB06674,1
224,DB00700,DB00864,1
225,DB00468,DB01418,1
226,DB01264,DB09039,1
227,DB00707,DB01137,1
228,DB00700,DB01109,1
229,DB00054,DB00351,1
230,DB00030,DB00977,1
231,DB01254,DB09083,1
232,DB00285,DB03619,1
233,DB00398,DB00762,1
234,DB00425,DB00615,1
235,DB00946,DB06605,1
236,DB09054,DB09401,1
237,DB00230,DB01197,1
238,DB00900,DB01165,1
239,DB01167,DB06723,1
240,DB00946,DB01109,1
241,DB06273,DB06674,1
242,DB00427,DB00895,1
243,DB01197,DB06724,1
244,DB00543,DB06288,1
245,DB00897,DB08883,1
246,DB00465,DB00482,1
247,DB00615,DB09030,1
248,DB00040,DB00477,1
249,DB00310,DB00414,1
250,DB00072,DB06372,1
251,DB02703,DB05773,1
252,DB00320,DB01063,1
253,DB00313,DB06819,1
254,DB00440,DB00912,1
255,DB00091,DB00220,1
256,DB00337,DB06372,1
257,DB00752,DB00937,1
258,DB00070,DB06786,1
259,DB00486,DB00850,1
260,DB01100,DB08820,1
261,DB00641,DB01263,1
262,DB00337,DB09033,1
263,DB00586,DB00642,1
264,DB00582,DB08864,1
265,DB00363,DB00552,1
266,DB00741,DB01377,1
267,DB00808,DB00813,1
268,DB00294,DB00474,1
269,DB00371,DB01173,1
270,DB00374,DB00500,1
271,DB00413,DB00726,1
272,DB00734,DB08883,1
273,DB00960,DB01354,1
274,DB01100,DB01151,1
275,DB00588,DB06711,1
276,DB00246,DB00956,1
277,DB01171,DB04924,1
278,DB00193,DB06767,1
279,DB00648,DB00921,1
280,DB00956,DB06282,1
281,DB00321,DB01239,1
282,DB00528,DB01263,1
283,DB00361,DB00648,1
284,DB00437,DB00993,1
285,DB06684,DB09054,1
286,DB00321,DB00474,1
287,DB00421,DB11124,1
288,DB00653,DB00985,1
289,DB01319,DB06684,1
290,DB01144,DB01364,1
291,DB00201,DB01407,1
292,DB00273,DB06799,1
293,DB00035,DB00687,1
294,DB00946,DB06441,1
295,DB01278,DB08897,1
296,DB00564,DB00734,1
297,DB00586,DB01609,1
298,DB01066,DB06723,1
299,DB00395,DB01041,1
300,DB00461,DB09295,1
301,DB00486,DB00865,1
302,DB01020,DB01323,1
303,DB00625,DB01418,1
304,DB00444,DB06717,1
305,DB00295,DB00875,1
306,DB00484,DB01115,1
307,DB00211,DB01407,1
308,DB00193,DB00932,1
309,DB00204,DB00675,1
310,DB00252,DB06145,1
311,DB00728,DB00798,1
312,DB00761,DB00967,1
313,DB01083,DB09119,1
314,DB00264,DB00496,1
315,DB00191,DB00470,1
316,DB00484,DB00571,1
317,DB00904,DB01233,1
318,DB00068,DB00277,1
319,DB01045,DB09030,1
320,DB00401,DB00864,1
321,DB01223,DB09054,1
322,DB00932,DB04876,1
323,DB00861,DB01082,1
324,DB00864,DB09235,1
325,DB01021,DB06282,1
326,DB00834,DB09034,1
327,DB00204,DB05521,1
328,DB00994,DB01331,1
329,DB05239,DB08933,1
330,DB00816,DB01551,1
331,DB00887,DB09083,1
332,DB00808,DB06204,1
333,DB00472,DB09280,1
334,DB00384,DB06212,1
335,DB01069,DB01224,1
336,DB00424,DB06723,1
337,DB00108,DB00853,1
338,DB00688,DB08795,1
339,DB00136,DB01406,1
340,DB00519,DB00752,1
341,DB00136,DB02703,1
342,DB00104,DB00261,1
343,DB00653,DB01339,1
344,DB01076,DB06724,1
345,DB00422,DB01151,1
346,DB00295,DB00956,1
347,DB00072,DB01204,1
348,DB00668,DB06413,1
349,DB00989,DB04861,1
350,DB01173,DB04946,1
351,DB00607,DB06335,1
352,DB01021,DB01148,1
353,DB01225,DB03619,1
354,DB05294,DB08870,1
355,DB00307,DB00377,1
356,DB00502,DB01142,1
357,DB00211,DB00388,1
358,DB00014,DB00543,1
359,DB00086,DB09075,1
360,DB00359,DB00715,1
361,DB00206,DB00601,1
362,DB00615,DB00762,1
363,DB00332,DB01242,1
364,DB00396,DB01232,1
365,DB01355,DB09026,1
366,DB00564,DB06201,1
367,DB00903,DB00919,1
368,DB01198,DB08865,1
369,DB01211,DB04868,1
370,DB00176,DB00296,1
371,DB01577,DB01579,1
372,DB00350,DB00468,1
373,DB00182,DB00486,1
374,DB00452,DB00803,1
375,DB00443,DB08895,1
376,DB00477,DB01264,1
377,DB08827,DB09049,1
378,DB00608,DB09036,1
379,DB00073,DB00177,1
380,DB00176,DB00682,1
381,DB00434,DB00956,1
382,DB00734,DB06335,1
383,DB00196,DB00829,1
384,DB00572,DB01171,1
385,DB00387,DB06204,1
386,DB01264,DB06605,1
387,DB00104,DB06663,1
388,DB00277,DB01182,1
389,DB00679,DB00705,1
390,DB00712,DB00974,1
391,DB00216,DB02703,1
392,DB01192,DB04831,1
393,DB00408,DB00450,1
394,DB00031,DB01225,1
395,DB00452,DB01339,1
396,DB00072,DB00444,1
397,DB00073,DB00612,1
398,DB00346,DB09009,1
399,DB00461,DB00930,1
400,DB00391,DB00601,1
401,DB00273,DB01591,1
402,DB00035,DB00461,1
403,DB00850,DB01255,1
404,DB00341,DB09272,1
405,DB00402,DB09073,1
406,DB01254,DB06335,1
407,DB00834,DB00915,1
408,DB01208,DB09162,1
409,DB00211,DB01162,1
410,DB00313,DB01045,1
411,DB00312,DB00492,1
412,DB06589,DB09063,1
413,DB00648,DB01254,1
414,DB01247,DB06144,1
415,DB01064,DB01189,1
416,DB00218,DB01273,1
417,DB00231,DB08900,1
418,DB00041,DB01197,1
419,DB01182,DB06414,1
420,DB01211,DB08815,1
421,DB00366,DB00844,1
422,DB00163,DB00605,1
423,DB01224,DB01247,1
424,DB00382,DB01069,1
425,DB00601,DB00745,1
426,DB00201,DB00397,1
427,DB00014,DB00916,1
428,DB00250,DB00883,1
429,DB00468,DB00503,1
430,DB06148,DB09118,1
431,DB00888,DB01097,1
432,DB00414,DB01067,1
433,DB00126,DB09131,1
434,DB00480,DB04574,1
435,DB01023,DB01167,1
436,DB00109,DB00503,1
437,DB00492,DB06723,1
438,DB00956,DB09290,1
439,DB00612,DB00975,1
440,DB00311,DB00819,1
441,DB00695,DB00806,1
442,DB00482,DB00974,1
443,DB00501,DB01242,1
444,DB00479,DB00739,1
445,DB00418,DB00528,1
446,DB00648,DB06414,1
447,DB00862,DB01020,1
448,DB00015,DB00784,1
449,DB00715,DB01267,1
450,DB00402,DB00972,1
451,DB00686,DB06754,1
452,DB00715,DB01624,1
453,DB01174,DB09061,1
454,DB00266,DB06695,1
455,DB00988,DB01203,1
456,DB00531,DB01319,1
457,DB01026,DB01377,1
458,DB00337,DB09065,1
459,DB00218,DB01024,1
460,DB00498,DB00573,1
461,DB01045,DB06414,1
462,DB00290,DB00337,1
463,DB00706,DB00857,1
464,DB00349,DB01440,1
465,DB00343,DB04908,1
466,DB01238,DB09072,1
467,DB00323,DB00988,1
468,DB01223,DB04839,1
469,DB00468,DB00872,1
470,DB00958,DB01172,1
471,DB00474,DB01115,1
472,DB00309,DB04817,1
473,DB00489,DB00961,1
474,DB00363,DB01204,1
475,DB00353,DB05521,1
476,DB00934,DB01041,1
477,DB00030,DB00635,1
478,DB01320,DB01544,1
479,DB00864,DB00987,1
480,DB00540,DB06701,1
481,DB01011,DB01320,1
482,DB08918,DB11133,1
483,DB00035,DB04896,1
484,DB00193,DB08912,1
485,DB01238,DB09034,1
486,DB00648,DB06702,1
487,DB00813,DB01063,1
488,DB00248,DB00433,1
489,DB01021,DB01432,1
490,DB00706,DB09065,1
491,DB09046,DB09564,1
492,DB06707,DB09042,1
493,DB00367,DB00555,1
494,DB00379,DB01551,1
495,DB00883,DB01235,1
496,DB01058,DB09048,1
497,DB00557,DB00899,1
498,DB00244,DB00352,1
499,DB00745,DB06704,1
500,DB00224,DB00564,1
501,DB00196,DB00820,1
502,DB00030,DB00104,1
503,DB00358,DB09119,1
504,DB00328,DB09214,1
505,DB00864,DB01229,1
506,DB00653,DB01221,1
507,DB00590,DB00884,1
508,DB00246,DB00918,1
509,DB00500,DB00586,1
510,DB01251,DB01621,1
511,DB00047,DB01398,1
512,DB00047,DB04868,1
513,DB00420,DB00460,1
514,DB00468,DB00945,1
515,DB00187,DB00794,1
516,DB00065,DB00999,1
517,DB00277,DB00612,1
518,DB00136,DB00653,1
519,DB01173,DB09555,1
520,DB00921,DB08933,1
521,DB00333,DB01224,1
522,DB00320,DB04871,1
523,DB00528,DB11110,1
524,DB00444,DB01232,1
525,DB01033,DB01418,1
526,DB01069,DB08893,1
527,DB00672,DB01621,1
528,DB01151,DB09241,1
529,DB00007,DB01175,1
530,DB00503,DB01156,1
531,DB01171,DB09280,1
532,DB00503,DB09027,1
533,DB00458,DB00767,1
534,DB00273,DB00502,1
535,DB00006,DB09030,1
536,DB00652,DB00695,1
537,DB00333,DB00758,1
538,DB01255,DB01407,1
539,DB06795,DB09112,1
540,DB00755,DB01609,1
541,DB08916,DB09065,1
542,DB01263,DB04938,1
543,DB00104,DB02901,1
544,DB00767,DB01171,1
545,DB00474,DB01144,1
546,DB00193,DB06603,1
547,DB00435,DB09112,1
548,DB00078,DB06684,1
549,DB01023,DB01119,1
550,DB00983,DB06706,1
551,DB00679,DB00707,1
552,DB01440,DB06204,1
553,DB00687,DB01016,1
554,DB00700,DB08933,1
555,DB00468,DB09112,1
556,DB00204,DB00880,1
557,DB00186,DB00628,1
558,DB00382,DB01193,1
559,DB00035,DB08918,1
560,DB00477,DB06201,1
561,DB00844,DB00898,1
562,DB00555,DB01355,1
563,DB00883,DB09073,1
564,DB00266,DB00993,1
565,DB01288,DB06413,1
566,DB00661,DB05294,1
567,DB00007,DB09078,1
568,DB01115,DB09118,1
569,DB00296,DB09266,1
570,DB00418,DB00996,1
571,DB00683,DB00818,1
572,DB01037,DB09042,1
573,DB00402,DB08912,1
574,DB00086,DB00945,1
575,DB00745,DB00872,1
576,DB00319,DB01032,1
577,DB00390,DB01021,1
578,DB00570,DB09027,1
579,DB00332,DB00496,1
580,DB00919,DB09060,1
581,DB02546,DB04876,1
582,DB00802,DB06201,1
583,DB00436,DB00921,1
584,DB00307,DB01229,1
585,DB00450,DB00950,1
586,DB00521,DB01353,1
587,DB00798,DB00887,1
588,DB00559,DB00906,1
589,DB00653,DB09555,1
590,DB00656,DB01254,1
591,DB00363,DB08889,1
592,DB00768,DB09072,1
593,DB00206,DB01247,1
594,DB00327,DB00594,1
595,DB06724,DB09101,1
596,DB00204,DB00656,1
597,DB00700,DB01355,1
598,DB00206,DB00752,1
599,DB01097,DB09029,1
600,DB00191,DB00651,1
601,DB00007,DB00582,1
602,DB00500,DB09214,1
603,DB00191,DB00368,1
604,DB00252,DB00528,1
605,DB01100,DB01409,1
606,DB00170,DB00755,1
607,DB01001,DB06698,1
608,DB01364,DB06711,1
609,DB00696,DB00834,1
610,DB00675,DB04938,1
611,DB00761,DB00924,1
612,DB00321,DB01016,1
613,DB00237,DB00436,1
614,DB00754,DB00972,1
615,DB00396,DB01323,1
616,DB00543,DB06701,1
617,DB01416,DB06696,1
618,DB01118,DB09102,1
619,DB00861,DB06228,1
620,DB00104,DB00633,1
621,DB00291,DB08895,1
622,DB01016,DB08912,1
623,DB00898,DB01247,1
624,DB01211,DB01264,1
625,DB00687,DB06412,1
626,DB00668,DB04876,1
627,DB00041,DB00887,1
628,DB00823,DB06271,1
629,DB00081,DB00784,1
630,DB00056,DB06643,1
631,DB00661,DB06287,1
632,DB00046,DB00367,1
633,DB00252,DB01576,1
634,DB00261,DB01418,1
635,DB00211,DB01214,1
636,DB00334,DB00897,1
637,DB00903,DB06335,1
638,DB01323,DB08895,1
639,DB00839,DB01309,1
640,DB00188,DB00349,1
641,DB00220,DB08907,1
642,DB00266,DB00559,1
643,DB06684,DB11133,1
644,DB00289,DB01264,1
645,DB00022,DB00850,1
646,DB00022,DB00370,1
647,DB00865,DB06724,1
648,DB00337,DB01196,1
649,DB00104,DB00556,1
650,DB00013,DB00814,1
651,DB01377,DB08930,1
652,DB00013,DB06684,1
653,DB01008,DB04817,1
654,DB00367,DB06697,1
655,DB00215,DB00898,1
656,DB00266,DB01142,1
657,DB00770,DB00862,1
658,DB00349,DB00363,1
659,DB00333,DB01151,1
660,DB00396,DB04272,1
661,DB00904,DB01037,1
662,DB00468,DB09036,1
663,DB00696,DB01224,1
664,DB00814,DB06605,1
665,DB00715,DB05812,1
666,DB00396,DB01124,1
667,DB00861,DB01208,1
668,DB00269,DB00316,1
669,DB01111,DB06696,1
670,DB01367,DB01618,1
671,DB01395,DB08976,1
672,DB00678,DB06273,1
673,DB00378,DB06754,1
674,DB00434,DB00557,1
675,DB01242,DB01392,1
676,DB06414,DB08873,1
677,DB00072,DB08868,1
678,DB00694,DB04817,1
679,DB00841,DB06707,1
680,DB00014,DB01251,1
681,DB00422,DB06724,1
682,DB00593,DB01579,1
683,DB00273,DB08883,1
684,DB01656,DB06168,1
685,DB00653,DB01238,1
686,DB00443,DB01016,1
687,DB00193,DB01200,1
688,DB01104,DB01418,1
689,DB00490,DB00734,1
690,DB00083,DB00452,1
691,DB01201,DB09034,1
692,DB00425,DB00494,1
693,DB00370,DB00921,1
694,DB00195,DB00734,1
695,DB00613,DB00752,1
696,DB00196,DB09073,1
697,DB00211,DB00458,1
698,DB01151,DB01463,1
699,DB01225,DB01609,1
700,DB00268,DB00593,1
701,DB00612,DB01235,1
702,DB09054,DB09073,1
703,DB00912,DB01021,1
704,DB00650,DB00794,1
705,DB00935,DB00983,1
706,DB00252,DB00266,1
707,DB08897,DB09076,1
708,DB00252,DB00268,1
709,DB00872,DB08932,1
710,DB00555,DB09123,1
711,DB01418,DB10631,1
712,DB00046,DB01015,1
713,DB02901,DB06203,1
714,DB00937,DB01037,1
715,DB00476,DB06292,1
716,DB00624,DB01380,1
717,DB01208,DB06335,1
718,DB00471,DB00613,1
719,DB00201,DB00841,1
720,DB00994,DB01415,1
721,DB00307,DB00897,1
722,DB00363,DB08897,1
723,DB00181,DB08910,1
724,DB00619,DB01263,1
725,DB00571,DB09063,1
726,DB01211,DB08881,1
727,DB00584,DB09220,1
728,DB00961,DB01288,1
729,DB01026,DB06218,1
730,DB00393,DB01339,1
731,DB00215,DB01241,1
732,DB00332,DB01114,1
733,DB08899,DB09401,1
734,DB01242,DB09272,1
735,DB00193,DB01560,1
736,DB00325,DB01427,1
737,DB00476,DB09401,1
738,DB00278,DB00686,1
739,DB00391,DB00514,1
740,DB01198,DB06717,1
741,DB00312,DB00742,1
742,DB00177,DB01143,1
743,DB00968,DB01247,1
744,DB01158,DB06761,1
